#name	name2
NM_001244004	Srebf2
NM_001244016	Dhfr
NM_001246722	Slc1a3
NM_001246747	Tst
NM_001292060	LOC100759157
NM_001246740	Xrcc5
NM_001244046	Casp3
NR_105244	Mir486
NM_001244010	Slc20a2
NM_001244853	Pex7
NM_001246733	Tcp1
NR_105270	Mir9
NM_001244026	Col4a3bp
NR_105254	Mir582
NR_162744	Mir449a
NM_001256878	Selenop
NR_105129	Mir151
NM_001246779	Tsta3
NM_001246812	Atf4
NM_001244074	Mgat3
NM_001244045	Adsl
NR_105211	Mir33
NR_162750	Mir1249
NR_105088	Mirlet7b
NR_162737	Mirlet7c-2
NM_001244136	Creld2
NM_001243979	Tuba1b
NM_001243979	Tuba1b
NM_001243978	Tuba1a
NM_001243978	Tuba1a
NM_001243977	Tuba1c
NR_105256	Mir615
NR_105161	Mir196a
NM_001246703	LOC100689444
NM_001244507	Cbx5
NR_105127	Mir148b
NM_001291944	LOC100765484
NM_001291946	LOC100760212
NM_001246766	Orc2
NM_001246796	Casp8
NR_105188	Mir26b
NR_162766	Mir3535
NM_001246735	Neu2
NM_001244041	Dpagt1
NR_105128	Mir149
NM_001244250	St8sia4
NM_001246680	Sptlc2
NM_001246750	Soat1
NM_001244085	Xpr1
NM_001244087	Fut6b
NR_105196	Mir29c
NR_162747	Mir29b-2
NR_105171	Mir205
NR_105261	Mir664
NR_105157	Mir194
NR_105177	Mir215
NM_001246721	Parp1
NM_001246734	Csr1
NM_001292059	Adss
NR_105222	Mir350
NM_001244851	Pea15
NM_001246736	Pex19
NM_001246777	B4galt3
NM_001246826	Sdhc
NR_105176	Mir214
NR_162755	Mir199a-2
NR_105138	Mir181b
NR_105137	Mir181a
NR_105108	Mir128
NM_001244078	Insig2
NM_001246675	Tsn
NM_001244088	Fut6a
NM_001244406	Fut
NR_105267	Mir7b
NM_001256831	Gpx4
NM_001244073	Cirbp
NM_001305117	Oaz1
NM_001244039	Eef2
NM_001244051	Gna11
NM_001256762	Dio2
NR_162761	Mir3068
NM_001246683	Fos
NR_105145	Mir1843
NM_001256806	Gpx2
NM_001243990	Ahr
NM_001246701	Gnb1
NM_001291945	Slc2a1
NM_001246692	Ugcg
NM_001246755	Slc35a1
NM_001246711	Cga
NR_105168	Mir200b
NR_105239	Mir429
NR_162735	Mir200a
NR_105219	Mir34a
NM_001246797	LOC100689370
NM_001246753	Slc9a1
NM_001293709	Azin2
NM_001244025	Gja4
NR_105203	Mir30e
NR_162764	Mir30c-1
NM_001246793	Dph2
NM_001246694	B4galt2
NM_001246742	Kif2c
NM_001246765	Prdx1
NM_001246688	Orc1
NM_001256842	Gpx7
NM_001256759	Dio1
NR_162748	Mir101a
NR_105268	Mir872
NR_045212	Rn28s1
NR_105204	Mir31
NM_001246762	Tlr4
NR_105242	Mir455
NM_001244117	Slc31a1
NR_105205	Mir32
NM_001246709	Gne
NM_001244394	Fancg
NM_001244852	Smu1
NM_001246691	B4galt1
NM_001244852	Smu1
NM_001243982	Manea
NM_001244024	Fut9
NR_105102	Mir124
NM_001246807	Pigu
NM_001271425	Orc4
NR_105247	Mir499
NM_001246798	Bcl2l1
NM_001246768	Pcna
NR_105096	Mir103
NM_001292058	Cdc25b
NM_001244399	Cenpb
NM_001244012	Slc20a1
NR_105126	Mir147
NM_001246674	B2m
NM_001246774	Pdia3
NM_001246757	Rad51
NR_105263	Mir674
NM_001246712	Fshb
NR_105115	Mir1343
NM_001246808	Slc35c1
NM_001256757	Selenoh
NR_105111	Mir130a
NR_105100	Mir10b
NM_001244098	Tubb4b
NR_105104	Mir126a
NR_162751	Mir126b
NR_162741	Mir219b
NM_001244535	Dpm2
NM_001244009	Fpgs
NM_001244043	Rps2
NM_001246772	Cdc7
NM_001328108	Eif2ak2
NM_001246717	Cenpa
NM_001256786	Selenoi
NM_001244042	Sdc1
NM_001244017	Lpin1
NM_001243992	Adam17
NM_001285924	Rps7
NM_001285919	Rnaseh1
NM_001285925	Adi1
NR_105225	Mir365
NR_105156	Mir193b
NM_001244032	Ercc4
NR_105178	Mir218a
NR_105124	Mir146a
NM_001243980	Mgat1
NR_105215	Mir340
NM_001246776	Canx
NM_001256815	Gpx3
NM_001244003	Srebf1
NM_001244381	Ubb
NM_001281883	Tvp23b
NR_105266	Mir744
NM_001244037	Mpdu1
NM_001243976	Tp53
NM_001244002	Polr2a
NR_105246	Mir497
NR_105159	Mir195
NR_162767	Mir497b
NM_001244054	Gnai2
NM_001292057	Atr
NM_001243981	Kif23
NM_001244033	Rpsa
NR_162742	Mir26a-1
NR_162768	Mir128-2
NM_001244036	Scap
NM_001292061	Cdc25a
NR_105238	Mir425
NR_105154	Mir191
NM_001246822	Impdh2
NM_001256788	Gpx1
NR_105092	Mirlet7g
NR_105144	Mir184
NR_045124	Adapt15
NM_001246754	Htr1b
NM_001244402	Eef1a1
NR_105257	Mir628
NR_105151	Mir190a
NM_001291906	Oaz2
NM_001246827	Map2k1
NM_001246827	Map2k1
NM_001246827	Map2k1
NM_001246681	Layn
NR_105221	Mir34c
NR_105220	Mir34b
NM_001244041	Dpagt1
NM_001246741	Hyou1
NR_162746	Mir125b-2
NR_105094	Mir100
NR_162736	Mirlet7a-2
NM_001246696	Gmds
NM_001246759	Sptlc1
NM_001291665	Kin
NM_001256840	Gpx5
NM_001246817	Gmnn
NM_001246743	Eef1e1
NR_105090	Mirlet7d
NR_105091	Mirlet7f
NR_105087	Mirlet7a-1
NR_105106	Mir1271
NR_105269	Mir874
NR_105190	Mir27b
NR_105183	Mir23b
NR_162763	Mir3074-1
NR_162760	Mir24-1
NM_001246828	Pld1
NM_001244027	Cdk2
NM_001246787	Cbx1
NR_105153	Mir190b
NM_001246710	Dpm3
NR_105272	Mir92b
NR_105134	Mir15b
NR_162754	Mir16-2
NM_001256851	Selenot
NM_001246756	Fxr1
NR_105187	Mir26a-2
NM_001246790	Cdc45
NM_001246815	St6gal1
NM_001246737	Pcyt1a
NM_001244006	Chcr2
NM_001244005	Chcr1
NR_105112	Mir130b
NR_162743	Mir301b
NR_105110	Mir1306
NR_105146	Mir185
NR_162749	Mir1224
NR_105191	Mir28
NM_001246819	Tfrc
NM_001246695	B4galt4
NR_105275	Mir99a
NR_105089	Mirlet7c-1
NR_105103	Mir125b
NR_105132	Mir155
NM_001246705	Gart
NM_001246731	Rcan1
NR_162769	Mir802
NM_001244007	Cbr3
NM_001244052	Gnaq
NM_001246814	Ilk
NM_001244533	Rps13
NM_001256868	Sephs2
NM_001265617	Vkorc1
NR_162757	Mir202
NM_001246707	Ptdss2
NR_105174	Mir210
NM_001246775	Taldo1
NM_001244048	Ccnd1
NM_001246744	Gstp1
NM_001252297	Pc
NM_001244849	Efemp2
NM_001246824	Fau
NR_105155	Mir192
NR_162739	Mir194-2
NM_001246678	Stip1
NM_001246748	Slc3a2
NM_001246684	B3gat3
NR_105170	Mir204
NR_105095	Mir101b
NM_001246769	Mmp14
NM_001244504	Gjb6
NR_105135	Mir16
NR_105133	Mir15a
NR_105255	Mir598
NM_001305218	Synb
NR_105206	Mir320a
NM_001246728	Htr2a
NR_105150	Mir18a
NR_105271	Mir92a
NR_105136	Mir17
NR_105173	Mir20a
NR_105166	Mir19a
NR_105167	Mir19b
NM_001246727	G6pd
NM_001244118	Dnase1l1
NR_105251	Mir505
NR_105250	Mir504
NM_001328109	LOC103162508
NR_105240	Mir450a
NR_105207	Mir322
NR_105253	Mir542
NR_105241	Mir450b
NR_105249	Mir503
NR_162770	Mir18b
NR_162771	Mir20b
NM_001246801	Xiap
NM_001246749	Lamp2
NM_001246761	Ndufa1
NM_001246802	Pls3
NR_105259	Mir652
NR_105223	Mir361
NM_001246725	Pgk1
NR_105208	Mir325
NR_105233	Mir384
NR_105227	Mir374
NM_001246673	Rps4x
NM_001292056	Acaca
NR_045131	Mir21
NR_105198	Mir301a
NM_001244076	Rad51c
NR_105121	Mir142
NR_105163	Mir196c
NR_105099	Mir10a
NM_001246787	Cbx1
NR_105130	Mir152
NM_001246713	Pgap3
NM_001244278	Cdc6
NM_001246738	Top2a
NM_001246786	Gjc1
NM_001244013	Ubtf
NM_001246781	Hdac5
NM_001244057	Gna13
NM_001244144	Sumo2
NM_001244494	Tk1
NM_001246708	Pgs1
NR_105213	Mir338
NM_001246693	P4hb
NR_105277	Mir6092
NM_001244049	Xbp1
NM_001244047	Xbp1
NM_001256844	Selenom
NM_001246729	Hspa8
NM_001260516	Pdgfra
NM_001246723	Cep135
NM_001243989	Abcb1b
NM_001243988	Abcb1
NM_001246704	Casp2
NR_105260	Mir653
NR_105109	Mir129
NR_105141	Mir182
NR_105142	Mir183
NR_105195	Mir29b
NR_105194	Mir29a
NM_001244018	Slc35b4
NM_001246751	Akr1b8
NM_001246792	Cyren
NM_001243987	Abcb4
NM_001246771	Dbf4
NM_001244058	Gnai3
NR_105160	Mir1956
NM_001244267	Aimp1
NR_105116	Mir137
NM_001246818	Slc35a3
NM_001246746	Sec22b
NM_001246813	Gphr
NM_001291938	Oaz3
NM_001256843	Selenok
NM_001244139	Cxcl3
NM_001244044	Cxcl1
NM_001246770	Glul
NM_001244538	Dph3
NM_001246732	Elk3
NM_001256882	Txnrd1
NR_105212	Mir331
NM_001271426	Orc5
NM_001244056	Gnai1
NM_001246698	B4galt6
NR_162756	Mir1b
NM_001246687	Npc1
NR_105148	Mir187
NM_001246794	Ercc3
NM_001246829	Hspa9
NR_105158	Mir1949
NM_001246724	Taf7
NM_001246811	Pgap2
NM_001246763	Folr1
NR_162758	Mir211
NM_001256848	Selenos
NR_105086	Mir7a
NM_001243986	Furin
NM_001244040	Rps17
NR_105143	Mir1839
NR_105265	Mir708
NM_001246760	Serpinh1
NR_105209	Mir326
NM_001244100	Neu3
NR_162765	Mir3102
NR_105118	Mir139
NM_001282003	Lrrc51
NM_001282002	Lrrc51
NM_001244055	Gnao1
NM_001244273	Glg1
NM_001246682	Mbtps1
NM_001244576	Mt1
NM_001244577	Mt2
NR_105117	Mir138
NR_105210	Mir328
NR_105119	Mir140
NM_001244538	Dph3
NM_001246718	Cdt1
NM_001246803	Rpl13
NM_001246758	Ugp2
NM_001246784	C1d
NM_001246782	Slc1a4
NM_001246805	Pex13
NR_162759	Mir216b
NR_162740	Mir217
NR_105243	Mir484
NM_001246820	Slc10a2
NM_001246830	Lamp1
NM_001246783	Mad1l1
NM_001244848	Scarb1
NM_001244378	Ubc
NM_001244409	Dao
NM_001246720	Hsph1
NM_001243983	Aimp2
NM_001244575	Actb
NR_105214	Mir339
NM_001246773	Ly96
NM_001244401	Cyp7a1
NM_001246773	Ly96
NM_001244035	Pex2
NM_001246715	Edem1
NM_001278932	Eogt
NM_001244381	Ubb
NM_001244281	Pparg
NM_001244407	Rho
NM_001244293	Washc2
NM_001246764	Rad52
NM_001246791	Tubb6
NM_001246716	Mppe1
NR_105101	Mir122
NR_105122	Mir143
NR_105229	Mir378
NM_001244519	Rps14
NM_001244075	Gja1
NR_105202	Mir30c-2
NR_105200	Mir30a
NR_105172	Mir206
NR_105274	Mir98
NM_001244019	Slc35a2
NM_001246799	Rbm3
NR_105181	Mir222
NR_105180	Mir221
NM_001246789	Ndufb11
NM_001244413	Nat2
NM_001244115	Bst2
NM_001246677	Cope
NM_001246690	Icam1
NR_105165	Mir199a
NM_001246823	Ldlr
NM_001246699	St3gal4
NR_045135	LOC100689270
NR_045134	LOC100689269
NR_105152	Mir1903
NM_001244034	Top1
NM_001243991	Slc35c2
NM_001246778	B4galt5
NM_001246685	Dpm1
NM_001244053	Gnas
NR_105193	Mir298
NR_105192	Mir296
NM_001246785	Prelid3b
NM_001244275	Por
NM_001246714	Fis1
NR_105264	Mir702
NM_001328110	Vgf
NM_001246719	Srrt
NR_105186	Mir25
NR_105273	Mir93
NR_105097	Mir106b
NR_105105	Mir1260
NM_001246831	Slc19a1
NM_001246806	S100b
NM_001246767	Ext1
NM_001246788	Slc25a32
NM_001291486	Azin1
NR_105164	Mir1973
NM_001244287	Rarres2
NR_105262	Mir671
NM_001244079	Insig1
NR_162738	Mir148a
NM_001246702	Cbx3
NR_105162	Mir196b
NR_105107	Mir1285
NM_001246686	Gbf1
NR_105125	Mir146b
NR_105147	Mir186
NM_001256866	Selenof
NM_001246825	Cdkn1b
NM_001244298	Znf330
NM_001328107	LOC100754040
NM_001244050	Ldha
NM_001246689	Sat1
NM_001244089	Mbtps2
NM_001252299	Pdha1
NR_105276	Mir6091
NM_001244850	Adk
NM_001323024	Ap3m1
NM_001244405	Ap3m1
NM_001244411	Apex1
NM_001244518	Ear7
NM_001244516	Ear11
NM_001244517	Ear15
NM_001244515	Ear10
NM_001244269	Dicer1
NR_105216	Mir342
NR_105218	Mir345
NR_162752	Mir127
NR_105114	Mir134
NR_105228	Mir377
NR_105131	Mir154
NR_105245	Mir496
NR_105234	Mir409
NR_105197	Mir300
NR_105226	Mir369
NR_105231	Mir381
NR_105230	Mir379
NR_105236	Mir412
NR_105232	Mir382
NR_105199	Mir3072
NR_105235	Mir410
