#name	name2
NM_166813	CaMKII
NM_166812	CaMKII
NM_166811	CaMKII
NM_166810	CaMKII
NM_079896	CaMKII
NM_001272155	CaMKII
NM_001272154	CaMKII
NM_001272153	CaMKII
NM_001169362	CaMKII
NM_001169361	CaMKII
NM_001169360	CaMKII
NM_001014696	CaMKII
NM_205874	dati
NM_166791	MED26
NM_166785	gw
NM_166784	gw
NM_166783	gw
NM_166781	gw
NM_166780	gw
NM_166758	dati
NM_143679	MED26
NM_143657	RhoGAP102A
NM_079901	eIF4G1
NM_079884	zfh2
NM_001272130	zfh2
NM_001272121	RhoGAP102A
NM_001258496	zfh2
NM_001258492	dati
NM_001258487	RhoGAP102A
NM_001144385	eIF4G1
NM_001103382	eIF4G1
NM_001038713	RhoGAP102A
NM_001014691	gw
NM_166827	pho
NM_079891	pho
NR_123742	lncRNA:CR44440
NR_123741	asRNA:CR45124
NR_073613	snoRNA:CD-24
NR_073612	asRNA:CR43957
NR_073611	asRNA:CR43957
NM_175928	Ank
NM_175927	Ank
NM_175926	Ank
NM_166724	pan
NM_166723	pan
NM_166720	pan
NM_166718	pan
NM_166714	RpS3A
NM_079879	RpS3A
NM_079880	pan
NM_079878	ci
NM_079877	PlexB
NM_001258477	pan
NM_001258476	pan
NM_001258475	RpS3A
NM_001258473	ci
NM_001258472	ci
NM_001258471	PlexB
NM_001169348	Ank
NM_001110622	JYalpha
NM_001038709	pan
NM_001014685	pan
NR_133502	asRNA:CR46065
NR_123744	lncRNA:CR44441
NR_123743	asRNA:CR45198
NR_073614	lncRNA:CR43956
NM_205866	CG1674
NM_205865	anne
NM_166747	CG1674
NM_166746	CG1674
NM_166745	CG31999
NM_166744	Crk
NM_166743	Crk
NM_166742	CG31998
NM_166740	ABCD
NM_166738	ABCD
NM_166737	ABCD
NM_166736	ABCD
NM_166735	CG31997
NM_166734	CG32006
NM_166733	anne
NM_166732	anne
NM_166731	anne
NM_166730	anne
NM_166729	anne
NM_166728	anne
NM_143656	CG1674
NM_143655	yellow-h
NM_143651	Crk
NM_143649	ABCD
NM_143648	Arl4
NM_001297783	CG31999
NM_001297782	Crk
NM_001297781	Crk
NM_001297780	CG31997
NM_001272120	CG1674
NM_001272118	Arl4
NM_001272117	CG33978
NM_001272116	CG33978
NM_001272115	CG33978
NM_001272114	anne
NM_001258485	CG1674
NM_001258484	CG1674
NM_001258483	Crk
NM_001258482	Crk
NM_001258481	CG31998
NM_001258480	ABCD
NM_001258479	Arl4
NM_001258478	CG33978
NM_001169352	CG1674
NM_001169351	CG1674
NM_001169350	CG1674
NM_001103381	dpr7
NM_001103380	dpr7
NM_001103379	anne
NM_001038712	CG33978
NR_123745	lncRNA:CR45125
NR_073615	lncRNA:CR44023
NM_205873	Hcf
NM_205872	Zip102B
NM_205871	Syt7
NM_205870	NfI
NM_166757	Hcf
NM_166756	Hcf
NM_166755	PMCA
NM_166754	PMCA
NM_166753	CG32850
NM_166752	Rad23
NM_166751	Syt7
NM_166749	Syt7
NM_166748	Syt7
NM_143662	Zip102B
NM_143661	Rad23
NM_079882	Hcf
NM_001297784	Zip102B
NM_001272124	CG32850
NM_001272123	Rad23
NM_001272122	NfI
NM_001258493	dati
NM_001258491	Hcf
NM_001258488	Syt7
NM_001201589	PMCA
NM_001201588	PMCA
NM_001201587	PMCA
NM_001201586	PMCA
NM_001201585	PMCA
NM_001144383	Zip102B
NM_001038714	PMCA
NM_001014689	PMCA
NM_001014688	PMCA
NM_001014687	PMCA
NR_144673	mir-9385
NR_123746	asRNA:CR45126
NR_073617	lncRNA:CR44024
NR_073616	asRNA:CR44027
NR_047708	lncRNA:CR43437
NM_001347760	CG33941
NM_166766	Asator
NM_166765	Asator
NM_166764	CaMKI
NM_166761	CaMKI
NM_166759	CaMKI
NM_166760	CaMKI
NM_143667	Asator
NM_143666	bip2
NM_143665	lgs
NM_079883	CaMKI
NM_001297785	Asator
NM_001272129	Asator
NM_001272128	Asator
NM_001272127	Asator
NM_001272126	Asator
NM_001272125	Asator
NR_123747	lncRNA:CR45199
NR_073619	lncRNA:CR43958
NR_047709	mir-954
NM_166779	Gat
NM_166777	Eph
NM_166776	Eph
NM_166775	Eph
NM_166774	Eph
NM_166773	CG1909
NM_166771	Ephrin
NM_166770	Ephrin
NM_166769	Pur-alpha
NM_166768	Pur-alpha
NM_166767	Pur-alpha
NM_143674	Ekar
NM_143673	Gat
NM_143671	CG1909
NM_143670	Ephrin
NM_143669	ND-49
NM_143668	Thd1
NM_079887	mav
NM_079886	Eph
NM_079885	Pur-alpha
NM_080103	onecut
NM_001297786	Thd1
NM_001272136	onecut
NM_001272135	ND-49
NM_001272134	Pur-alpha
NM_001272133	Pur-alpha
NM_001272132	Pur-alpha
NM_001272131	Thd1
NM_001169353	Eph
NM_001042786	Ekar
NM_001042785	Ekar
NR_123748	lncRNA:CR45200
NM_205876	bt
NM_166789	ey
NM_166788	myo
NM_166787	myo
NM_166786	myo
NM_143677	CG11360
NM_143676	Slip1
NM_079889	ey
NM_001297787	bt
NM_001272143	bt
NM_001272142	bt
NM_001272141	CG11360
NM_001272140	CG11360
NM_001272139	CG11360
NM_001272138	Slip1
NM_001272137	Slip1
NM_001169354	bt
NM_001014694	ey
NM_001014693	ey
NR_123750	asRNA:CR44029
NR_123749	lncRNA:CR45123
NR_073620	asRNA:CR44029
NR_047711	asRNA:CR43425
NM_205878	Gyf
NM_166794	unc-13
NM_166793	unc-13
NM_166792	Sox102F
NM_143694	fd102C
NM_143693	Gyf
NM_143692	unc-13
NM_001297788	unc-13
NM_001272146	unc-13
NM_001272145	Sox102F
NM_001272144	Sox102F
NM_001258498	unc-13
NM_001258497	unc-13
NM_001169357	Gyf
NM_001169356	Gyf
NM_001014695	Sox102F
NR_123752	asRNA:CR44030
NR_123751	lncRNA:CR45201
NR_073625	asRNA:CR44031
NR_073624	asRNA:CR44031
NR_073623	lncRNA:sphinx
NR_073622	asRNA:CR44030
NR_073621	asRNA:CR44030
NR_003115	lncRNA:sphinx
NR_003114	lncRNA:sphinx
NR_003113	lncRNA:sphinx
NM_166808	ATPsynbeta
NM_166798	4E-T
NM_166807	CG11076
NM_166797	4E-T
NM_166796	4E-T
NM_166805	PlexA
NM_166804	PlexA
NM_143687	CG11077
NM_143686	CG11076
NM_079899	toy
NM_079898	PlexA
NM_079900	mGluR
NM_001297790	ATPsynbeta
NM_001297789	mGluR
NM_001272152	ATPsynbeta
NM_001272151	toy
NM_001272150	fuss
NM_001272149	4E-T
NM_001272148	mGluR
NM_001272147	mGluR
NM_001258499	PlexA
NM_001258500	CG11076
NM_001169359	fuss
NM_001169358	fuss
NM_166826	CG32017
NM_166825	CG11155
NM_166824	CG11155
NM_166823	Cals
NM_166822	sv
NM_166819	Zyx
NM_166816	Zyx
NM_166815	Zyx
NM_143758	Zyx
NM_143685	Actbeta
NM_143684	CG11155
NM_143682	Kif3C
NM_079895	apolpp
NM_079894	sv
NM_079893	Cals
NM_079892	Arf102F
NM_001297794	CG32017
NM_001297793	Cals
NM_001297792	apolpp
NM_001297791	apolpp
NM_001272158	Arf102F
NM_001272157	Cals
NM_001272156	apolpp
NM_001258501	Zyx
NM_001169364	CG32017
NM_001169363	sv
NM_001014699	sv
NM_001014698	sv
NM_001014697	sv
NM_001014701	sv
NM_001258511	Cadps
NM_001258510	Cadps
NM_001258508	Mitf
NM_001258507	Mitf
NM_001258506	CG33521
NM_001038725	Dyrk3
NM_001038723	Dyrk3
NM_001038721	Dyrk3
NM_001038719	Mitf
NM_001038718	Mitf
NM_001038717	PIP4K
NM_001038716	PIP4K
NM_001031860	Cadps
NM_001031859	Cadps
NM_001031858	Cadps
NM_001014705	CG33521
NM_001014703	CG33521
NM_001014702	CG33521
NM_167544	if
NM_132245	CG1387
NM_078654	if
NM_001169307	if
NM_001169306	if
NR_123820	lncRNA:CR44357
NR_123819	lncRNA:CR44357
NR_123818	lncRNA:CR44357
NR_123770	lncRNA:CR44779
NR_123769	lncRNA:CR44779
NR_123768	lncRNA:CR44779
NM_206638	CBP
NM_167124	CG1677
NM_167028	rg
NM_167005	Fas2
NM_167004	Fas2
NM_132081	mldr
NM_131978	CG15465
NM_080327	Fas2
NM_078515	CBP
NM_057782	csw
NM_057511	N
NM_001297950	rg
NM_001297949	rg
NM_001297948	CG15465
NM_001297926	Fas2
NM_001297925	Fas2
NM_001272380	CBP
NM_001272308	Fas2
NM_001272306	Fas2
NM_001272245	csw
NM_001258620	mldr
NM_001258581	N
NM_001144687	rg
NM_001144686	rg
NM_001144685	rg
NM_001042796	rg
NM_206688	Drak
NM_167233	CG32687
NM_132831	CG8184
NM_132739	CG5321
NM_132581	Pits
NM_132335	mgl
NM_078592	NFAT
NM_001298364	CG8184
NM_001298363	CG8184
NM_001298362	CG8184
NM_001298361	CG8184
NM_001298360	CG8184
NM_001298359	CG8184
NM_001298315	CG5321
NM_001298125	mgl
NM_001298124	mgl
NM_001272597	NFAT
NM_001272557	Pits
NM_001272483	CG32687
NM_001169275	NFAT
NM_001169253	Drak
NM_001169252	Drak
NM_001144720	Pits
NM_001103454	mgl
NM_144236	CG34401
NM_133108	CG34401
NM_078666	Socs16D
NM_001298544	CG45492
NM_001298538	CG45486
NM_001300716	CG17167
NM_001272733	Socs16D
NM_001015257	CG17167
NM_001015256	CG17167
NM_001370011	CG34401
NR_123759	lncRNA:CR44753
NR_073627	asRNA:CR43906
NM_130497	Hmt4-20
NM_130502	tw
NM_130479	CG13377
NM_080136	arg
NM_001297797	RhoGAP1A
NM_001297796	RhoGAP1A
NM_001297795	RhoGAP1A
NM_001272180	CG43867
NM_001272173	tw
NM_001272160	CG13377
NM_001169155	RhoGAP1A
NM_001144668	CG32816
NM_001144667	CG32816
NM_001103386	RhoGAP1A
NM_001103385	RhoGAP1A
NM_166876	DAAM
NM_130589	prage
NM_130571	Mur2B
NM_001297860	Mur2B
NM_001297842	DAAM
NM_001272234	Hr4
NM_001272233	Hr4
NM_001272232	Hr4
NM_001272231	Hr4
NM_001272230	Hr4
NM_001272227	Hr4
NM_001258552	prage
NM_001258551	prage
NM_001258550	prage
